cluster_id,Count,Default_Rate,LoanSize_log,Term,NoEmp,Portion,CreateJob,RetainedJob,JobsPerLoan,New,RealEstate,IsFranchise,Recession,SameBankState,RevLineCr,LowDoc,Top_Industry,Pct,LoanSize_approx_$
0,6355,0.238,10.893,80.532,10.638,0.625,2.116,6.85,0.788,0.25,0.055,0.055,0.086,0.38,0.397,0.088,56,3.6,53797
1,38085,0.067,12.436,177.285,20.11,0.801,0.391,1.199,0.124,0.14,0.41,0.051,0.007,0.638,0.005,0.005,0,21.8,251701
2,15787,0.233,11.396,102.469,5.798,0.681,1.207,3.496,0.406,0.289,0.124,0.053,0.068,0.473,0.259,0.093,44,9.0,88964
3,34249,0.287,10.975,73.709,5.78,0.655,1.65,4.841,0.575,0.302,0.002,0.038,0.086,0.356,0.0,0.004,81,19.6,58395
4,31118,0.25,10.924,61.36,6.729,0.51,1.305,5.751,0.626,0.206,0.0,0.009,0.123,0.31,0.973,0.0,23,17.8,55491
5,26654,0.088,11.013,84.525,4.991,0.831,0.047,0.038,0.007,0.525,0.012,0.073,0.001,0.795,0.002,0.663,0,15.2,60657
6,12940,0.222,11.68,117.37,11.927,0.707,4.461,7.752,1.029,0.423,0.184,0.224,0.089,0.519,0.161,0.104,72,7.4,118183
7,9805,0.017,12.891,231.659,36.967,0.954,136.803,139.944,22.897,0.157,0.898,0.057,0.042,0.874,0.004,0.0,0,5.6,396725
